match_id,toss_winner,toss_decision
1304052,0,field
1304053,16,field
1304054,1,field
1304055,6,field
1304056,14,field
1304057,3,field
1304058,10,field
1304059,0,field
1304060,1,field
1304061,16,field
1304062,17,field
1304063,10,field
1304064,0,field
1304065,1,field
1304066,16,field
1304067,10,field
1304068,0,field
1304069,6,field
1304070,5,field
1304071,10,field
1304072,6,field
1304073,14,field
1304074,10,field
1304075,17,field
1304076,1,field
1304077,16,field
1304078,14,field
1304079,3,field
1304080,14,field
1304081,17,bat
1304082,10,field
1304083,6,field
1304084,3,field
1304085,0,field
1304086,17,field
1304087,14,field
1304088,15,field
1304089,0,bat
1304090,6,field
1304091,16,bat
1304092,10,field
1304093,1,field
1304094,17,bat
1304095,3,field
1304096,10,field
1304097,17,field
1304098,15,bat
1304099,1,field
1304100,0,bat
1304101,14,field
1304102,6,field
1304103,17,bat
1304104,14,field
1304105,6,field
1304106,0,field
1304107,1,bat
1304108,3,bat
1304109,5,bat
1304110,15,field
1304111,6,field
1304112,16,bat
1304113,17,bat
1304114,3,bat
1304115,6,field
1304116,10,bat
1312197,17,field
1312198,16,field
1312199,5,field
1312200,5,bat
1359475,17,field
1359476,1,field
1359477,14,field
1359478,10,field
1359479,0,field
1359480,16,field
1359481,17,field
1359482,5,field
1359483,0,field
1359484,10,bat
1359485,14,field
1359486,3,field
1359487,17,bat
1359488,10,field
1359489,16,field
1359490,6,field
1359491,3,field
1359492,17,field
1359493,1,field
1359494,14,field
1359495,15,field
1359496,6,field
1359497,5,field
1359498,0,field
1359499,10,field
1359500,5,field
1359501,15,field
1359502,14,field
1359503,3,field
1359504,17,bat
1359505,6,field
1359506,5,field
1359507,1,field
1359508,14,bat
1359509,6,field
1359510,0,field
1359511,5,bat
1359512,15,field
1359513,17,field
1359514,10,bat
1359515,3,bat
1359516,5,bat
1359517,0,bat
1359518,14,bat
1359519,3,field
1359520,6,field
1359521,1,bat
1359522,5,bat
1359523,3,field
1359524,0,bat
1359525,16,field
1359526,5,bat
1359527,15,bat
1359528,6,field
1359529,3,bat
1359530,5,field
1359531,17,field
1359532,10,bat
1359533,14,field
1359534,0,bat
1359535,3,bat
1359536,10,field
1359537,6,field
1359538,15,field
1359539,0,field
1359540,5,field
1359541,3,bat
1359542,1,field
1359543,6,field
1359544,17,field
1370350,17,field
1370351,6,bat
1370352,6,field
1370353,3,field
1422119,18,bat
1422120,15,field
1422121,10,field
1422122,5,bat
1422123,6,field
1422124,18,field
1422125,17,field
1422126,6,field
1422127,14,field
1422128,1,field
1422129,16,bat
1422130,10,bat
1422131,14,bat
1422132,5,field
1422133,18,field
1422134,1,bat
1422135,15,field
1422136,10,field
1422137,5,field
1422138,14,field
1422139,16,bat
1426260,3,field
1426261,15,field
1426262,17,field
1426263,6,field
1426264,16,bat
1426265,5,field
1426266,1,field
1426267,6,field
1426268,18,field
1426269,5,field
1426270,14,field
1426271,15,field
1426272,16,field
1426273,14,field
1426274,18,field
1426275,15,bat
1426276,6,bat
1426277,16,field
1426278,17,field
1426279,18,bat
1426280,15,field
1426281,6,field
1426282,5,field
1426283,18,field
1426284,10,field
1426285,14,bat
1426286,16,field
1426287,15,field
1426288,10,bat
1426289,6,field
1426290,18,field
1426291,15,field
1426292,16,field
1426293,6,field
1426294,5,field
1426295,16,bat
1426296,15,field
1426297,3,field
1426298,6,field
1426299,5,bat
1426300,14,field
1426302,16,field
1426303,5,bat
1426305,6,field
1426306,3,field
1426307,15,bat
1426309,10,bat
1426310,5,field
1426311,5,field
1426312,10,bat
